study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
2830.0,High,1,2,6,1,2,missing,False,37.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,True,False,False,False,True
2341.0,High,1,1,2,6,4,missing,False,37.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1885.0,High,1,1,1,1,2,missing,False,60.0,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
2775.0,High,1,2,1,1,2,missing,False,39.0,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
1129.0,Low,0,5,1,7,7,False,False,32.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,False,False,True
1187.0,Low,0,3,1,1,3,missing,False,35.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
967.0,Low,0,12,2,7,1,False,False,20.0,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,False,False,True
1904.0,High,1,7,2,6,1,missing,False,25.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,True,True,True
1404.0,Low,0,2,2,2,3,False,False,7.0,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
3230.0,High,1,1,8,1,2,False,False,34.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2203.0,High,1,10,9,1,2,False,False,34.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
3136.0,High,1,2,1,1,1,missing,False,21.0,False,False,False,False,1,0,True,True,False,False,True,False,False,True,False,False,True,False,missing
3106.0,High,1,4,2,1,1,False,False,47.0,False,False,False,False,1,0,True,True,False,False,True,False,False,True,False,False,True,False,missing
2253.0,High,1,12,1,0,1,False,False,134.0,False,False,False,False,1,0,False,False,False,True,False,True,False,True,True,True,True,False,True
155.0,Low,0,9,1,1,2,missing,False,1.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
916.0,Low,0,9,1,9,2,missing,False,42.0,False,False,False,False,1,0,True,True,False,True,False,False,False,True,False,True,False,False,missing
578.0,Low,0,1,1,1,1,False,False,100.0,False,False,False,False,0,0,False,False,False,False,False,True,False,True,False,False,True,True,missing
792.0,Low,0,5,2,1,1,missing,False,8.0,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
1480.0,Low,0,18,1,12,2,False,False,133.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,True,True
1369.0,Low,0,4,1,0,1,missing,False,28.0,False,False,False,False,1,0,True,True,False,False,True,False,False,True,False,False,True,False,missing
1642.0,Low,0,6,1,2,4,missing,False,18.0,False,False,False,False,1,0,True,True,False,True,True,False,False,False,True,True,False,False,True
455.0,Low,0,2,1,12,1,False,False,1.0,False,False,False,False,1,0,False,True,False,True,True,True,False,True,False,True,True,True,missing
2909.0,High,1,2,2,5,2,missing,False,18.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
3617.0,High,1,3,8,96,2,True,False,191.0,False,False,False,False,1,0,False,True,False,False,True,True,False,True,False,False,True,True,missing
1852.0,High,1,1,2,1,2,missing,False,15.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
1236.0,Low,0,8,1,1,1,missing,False,94.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
1196.0,Low,0,2,1,1,2,False,False,33.0,False,False,False,False,1,0,True,True,True,False,True,True,False,True,True,False,True,True,False
1715.0,Low,0,2,1,1,2,False,False,21.0,False,False,False,False,1,0,True,True,True,False,False,False,False,False,False,False,False,False,missing
2512.0,High,1,6,1,5,4,missing,False,108.0,False,False,False,False,1,0,False,False,False,True,True,False,False,False,False,False,False,False,missing
1279.0,Low,0,6,1,3,2,missing,False,7.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
643.0,Low,0,1,1,1,2,False,False,10.0,False,False,False,False,1,0,True,True,True,False,False,True,False,True,True,False,True,True,False
1035.0,Low,0,6,2,1,1,missing,False,30.0,False,False,False,False,1,0,False,False,False,True,True,False,False,True,True,False,False,False,True
1742.0,Low,0,13,3,16,1,False,False,38.0,False,False,False,False,1,0,False,True,False,True,False,False,False,True,False,False,False,False,missing
2831.0,High,1,9,3,3,2,missing,False,71.0,False,False,False,False,1,0,False,True,False,True,True,True,False,True,False,True,True,True,missing
5024.0,High,1,0,2,1,3,missing,True,21.0,False,False,False,False,1,0,True,True,True,False,False,False,False,False,False,False,False,False,missing
816.0,Low,0,8,2,29,1,True,True,95.0,False,False,False,False,1,0,False,False,False,False,False,True,False,True,True,False,True,True,True
577.0,Low,0,47,2,0,2,True,False,20.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,True,True,True
