protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE2_PHASE3,phase_PHASE2
NCT01349972,1126,1126.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,16,2,1,11,0,30.0,13.0,4,0.0,1.0,1.0,1.0,1.0,0.0,172.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1095.0,1460.0,0.65,False,False,True
NCT03455517,1040,1653.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,1,1,1,31,1,14.0,9.0,2,0.0,0.0,1.0,0.0,1.0,0.0,77.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,450.0,450.0,0.65,False,False,True
NCT01928940,399,1054.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,2,1,7.0,18.0,2,1.0,0.0,1.0,0.0,1.0,0.0,12.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,503.7,503.7,0.68,False,False,True
NCT01562015,852,944.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,5,2,4.0,5.0,1,1.0,0.0,1.0,0.0,1.0,0.0,12.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,365.0,1095.0,0.99,False,False,True
NCT02236195,548,639.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,14,0,5.0,2.0,1,1.0,0.0,1.0,0.0,1.0,0.0,17.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,120.0,360.0,0.99,False,False,True
NCT02336451,1407,1407.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,5,1,57,2,12.0,6.0,1,1.0,1.0,1.0,0.0,0.0,0.0,156.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,1290.0,1290.0,0.99,False,False,True
NCT03679767,827,1266.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,7,4,1,52,2,8.0,22.0,1,1.0,1.0,1.0,0.0,0.0,0.0,121.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,777.0,846.0,0.99,False,False,True
NCT01750918,2738,2738.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,9,1,20,2,41.0,44.0,4,1.0,1.0,1.0,0.0,1.0,0.0,166.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,2700.0,2700.0,0.68,True,False,False
NCT01585246,1278,1278.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,3,1,6,0,6.0,8.0,2,0.0,1.0,0.0,1.0,1.0,2.0,48.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,,0.175,True,False,False
NCT05096468,209,318.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,6,2,1,1,1,5.0,12.0,2,0.0,1.0,0.0,1.0,1.0,4.0,90.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,0.68,False,True,False
NCT03004183,1847,2383.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,2,1,1,1,0,28.0,42.0,4,0.0,0.0,0.0,0.0,1.0,0.0,57.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,303.0,720.0,0.99,False,False,True
NCT04465097,1180,1180.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,1,1,7.0,8.0,3,0.0,0.0,0.0,0.0,1.0,0.0,30.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,217.0,217.0,0.99,False,False,True
NCT02996474,837,837.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,0,23.0,38.0,2,0.0,0.0,1.0,1.0,1.0,0.0,10.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,168.0,168.0,0.65,True,False,False
NCT02217566,1494,1494.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,0,1,6.0,6.0,3,1.0,0.0,1.0,0.0,1.0,0.0,46.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,1460.0,0.68,False,False,True
NCT02030847,1519,1519.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,1,0,28.0,13.0,4,0.0,0.0,1.0,1.0,1.0,0.0,42.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,360.0,0.68,False,False,True
NCT03841201,1233,1420.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,1,1,36.0,48.0,2,0.0,0.0,1.0,1.0,1.0,0.0,50.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,180.0,180.0,0.175,False,False,True
NCT01630018,1247,1247.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,2,1,1,1,16.0,6.0,2,1.0,1.0,1.0,1.0,1.0,0.0,141.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,21.0,1460.0,0.68,False,False,True
NCT03538951,201,201.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,1,0,2.0,6.0,2,1.0,2.0,1.0,0.0,0.0,0.0,83.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,112.0,112.0,0.99,False,False,True
NCT02609503,1316,2744.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,2,1,3,0,14.0,31.0,2,0.0,0.0,1.0,1.0,0.0,0.0,29.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1825.0,1825.0,0.99,False,False,True
NCT02723578,974,1096.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,17.0,15.0,2,0.0,0.0,0.0,0.0,1.0,0.0,50.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,730.0,730.0,0.175,False,False,True
NCT03520231,819,819.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,4,2,1,1,1,13.0,13.0,7,0.0,1.0,1.0,1.0,1.0,2.0,6.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,70.0,730.0,0.175,False,False,True
NCT01658241,975,975.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,5,1,1,1,1,40.0,17.0,1,0.0,0.0,1.0,1.0,1.0,0.0,30.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,730.0,730.0,0.598,False,False,True
NCT02138214,1972,2334.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,3,3,1,1,0,6.0,11.0,3,0.0,1.0,1.0,1.0,1.0,2.0,117.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,180.0,1825.0,0.175,False,False,True
NCT02682693,1051,1417.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,7,4,1,1,1,16.0,14.0,7,0.0,2.0,1.0,1.0,1.0,0.0,780.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,168.0,168.0,0.99,False,False,True
NCT02132949,598,2234.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,1,2,1,80,2,13.0,19.0,8,1.0,1.0,1.0,1.0,0.0,0.0,401.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,175.0,1825.0,0.99,False,False,True
NCT03136653,1238,1331.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,24,1,29.0,51.0,1,1.0,0.0,1.0,1.0,1.0,0.0,33.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,720.0,720.0,0.598,True,False,False
NCT01981122,1398,1398.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,2,1,19,0,16.0,43.0,2,1.0,1.0,1.0,1.0,1.0,0.0,52.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,364.0,,0.175,False,False,True
NCT01221675,1766,1766.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,2,0,1,6,1,21.0,24.0,3,0.0,0.0,1.0,0.0,1.0,0.0,18.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.99,True,False,False
NCT01982448,1736,2314.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,2,1,20,0,24.0,10.0,2,0.0,1.0,0.0,1.0,1.0,0.0,147.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,150.0,150.0,0.99,False,False,True
NCT01685268,668,821.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,32,2,26.0,9.0,3,1.0,1.0,1.0,0.0,1.0,0.0,49.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,360.0,720.0,0.175,True,False,False
NCT03435848,1675,1675.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,16,2,29.0,29.0,1,1.0,0.0,1.0,1.0,1.0,0.0,66.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,,0.65,False,False,True
NCT02197676,551,1358.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,27,1,25.0,15.0,1,0.0,0.0,1.0,0.0,1.0,0.0,56.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,180.0,1460.0,0.68,False,False,True
NCT01946711,2350,2854.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,2,2,1,4,1,10.0,13.0,2,1.0,1.0,1.0,0.0,1.0,0.0,14.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,56.0,182.0,0.68,True,False,False
NCT02841033,1165,1215.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,1,0,11.0,27.0,1,0.0,0.0,1.0,1.0,1.0,0.0,22.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0,1095.0,0.68,True,False,False
NCT03727724,1372,1372.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,4,1,20.0,10.0,2,0.0,0.0,1.0,0.0,1.0,0.0,37.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,126.0,42.0,0.99,False,False,True
NCT02703779,1312,1499.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,2,1,1,0,20.0,1.0,3,0.0,1.0,2.0,1.0,1.0,0.0,101.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30.0,0.598,False,False,True
NCT05380635,99,99.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,0,3.0,13.0,1,1.0,0.0,1.0,0.0,1.0,0.0,9.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,70.0,0.83,False,False,True
NCT03274011,622,725.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,10.0,17.0,1,0.0,0.0,0.0,1.0,1.0,0.0,40.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,84.0,168.0,0.68,False,False,True
NCT02692755,1201,1664.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,6,0,14.0,4.0,1,0.0,0.0,1.0,1.0,1.0,0.0,35.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,0.99,False,True,False
NCT03484702,1925,1925.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,20,1,3.0,7.0,1,1.0,0.0,1.0,1.0,1.0,0.0,113.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,730.0,1200.0,0.83,False,False,True
