protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,phase_PHASE2_PHASE3,phase_PHASE3
NCT01459003,913.0,913.0,"(758.0, 1321.333]","(90.999, 1004.0]",0,1,1,2,1,1,1,1.0,0.0,1,0,1.0,1,1.0,1.0,0.0,400.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0,,1825,365,0.99,False,True
NCT01631136,1766.0,1978.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,91,1,7.0,7.0,4,0,1.0,1,1.0,1.0,0.0,932.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,600.0,150.0,49,14,0.99,False,True
NCT02112656,1552.0,1552.0,"(1321.333, 4538.0]","(1004.0, 1783.0]",1,2,1,2,1,61,2,12.0,32.0,2,1,1.0,1,1.0,1.0,4.0,556.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1825.0,1825.0,1080,360,0.175,False,True
NCT01540058,2714.0,2714.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,3,1,18.0,9.0,2,0,1.0,1,1.0,1.0,0.0,243.0,False,0,0,0,0,0,0,0,0,0,0,1,0,0,540.0,540.0,4320,14,0.68,False,True
NCT01234311,1433.0,1614.0,"(1321.333, 4538.0]","(1004.0, 1783.0]",1,2,1,2,1,0,2,13.0,25.0,2,1,1.0,1,1.0,1.0,4.0,1245.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,1825.0,,1080,360,0.175,False,True
NCT05297565,554.0,554.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,16,2,3.0,8.0,2,1,1.0,1,1.0,1.0,0.0,14.0,False,1,0,0,0,0,0,0,0,0,1,0,0,0,450.0,,730,150,0.94,False,True
NCT01808573,2009.0,2446.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,252,2,6.0,1.0,3,1,1.0,1,1.0,1.0,0.0,621.0,False,1,0,0,0,0,0,0,1,0,0,1,1,1,1770.0,1770.0,1825,365,0.99,False,True
NCT06341998,1309.0,1340.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,2,1,0,1,1,11.0,2.0,1,0,0.0,1,1.0,1.0,0.0,32.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,84.0,84.0,4320,14,0.68,True,False
NCT02840552,518.0,546.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,1,1,1,1,8.0,12.0,1,0,0.0,0,0.0,1.0,0.0,60.0,False,0,1,0,0,0,0,0,1,0,0,0,0,0,360.0,,1080,360,0.175,False,True
NCT05727098,119.0,119.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,3,1,1,1,2.0,5.0,3,0,1.0,0,0.0,1.0,2.0,75.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1825,365,0.99,True,False
NCT01806259,972.0,2038.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,3,2,1,1,1,2.0,1.0,2,0,1.0,0,1.0,1.0,4.0,203.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,1825.0,,1825,365,0.99,False,True
NCT02672527,1269.0,1269.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,1,1,39.0,34.0,2,0,1.0,1,0.0,1.0,0.0,103.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,900.0,,1825,240,0.65,False,True
