protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT01390337,1219,1219.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,5,0,12.0,25.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,1,42.0,11.0,1095,730,0.65,4
NCT04657315,911,911.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,5,1,1,1,1,8.0,18.0,1,0,0.0,0.0,1.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,1,0,1,365.0,360.0,1825,240,0.65,6
NCT01962532,890,890.0,"(761.0, 1359.667]","(-0.001, 929.333]",0,1,4,3,1,0,1,11.0,14.0,2,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,28.0,730,180,0.83,7
NCT01987232,1000,1276.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,17,2,10.0,5.0,3,1,2.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,32,False,1,0,0,0,0,0,0,0,0,0,1,0,1,,900.0,49,14,0.99,1
NCT03493932,1670,1737.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,2,0,9.0,38.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,4320,1080,0.326,9
NCT03329937,630,719.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,7,0,32.0,15.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,1,60.0,365.0,1825,365,0.99,5
NCT03730337,985,1497.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,2,1,1,1,3.0,2.0,2,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,,4320,14,0.68,11
NCT02893137,972,972.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,1,1,13.0,16.0,2,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,15,False,1,0,0,0,0,0,0,0,0,0,1,0,1,540.0,540.0,4320,1080,0.326,9
NCT02219737,972,972.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,1,1,1,0,28.0,36.0,7,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,26,False,1,0,0,0,0,0,0,0,0,0,0,0,1,364.0,364.0,730,180,0.83,7
NCT01451632,762,974.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,5,2,1,0,0,3.0,3.0,3,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,48,False,1,0,0,0,0,0,0,0,0,0,0,0,0,336.7,336.7,49,14,0.99,1
NCT03120832,730,730.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,4,0,11.0,16.0,1,1,2.0,1.0,1.0,['PHASE1'],0.0,0.0,12,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,450.0,1080,360,0.175,2
NCT02902237,979,979.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,2,1,1,1,1,24.0,9.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,0,0,0,90.0,180.0,730,180,0.83,7
NCT05060237,505,505.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,1,1,9,0,11.0,34.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,100,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,,49,14,0.99,1
NCT02743637,1414,1414.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,4,1,1,3,0,4.0,8.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,32,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,112.0,4320,14,0.68,11
NCT05040932,586,586.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,3,1,8.0,20.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,8,False,1,0,0,0,0,0,0,0,0,0,0,0,0,720.0,,4320,14,0.68,11
