protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT00082784,3136.0,3836.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,13,1,1,5,0,16.0,10.0,3,0,0.0,1.0,0.0,0.0,0.0,93.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,2920.0,0.598,False,True
NCT01994850,1369.0,1887.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,1,1,1,0,24.0,21.0,1,0,0.0,1.0,1.0,0.0,0.0,32.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,150.0,,0.83,True,False
NCT00691210,2071.0,2464.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,8,1,1,0,10.0,17.0,3,0,0.0,1.0,1.0,0.0,0.0,40.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1095.0,315.0,0.83,False,True
NCT00918333,2374.0,3697.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,28,1,1,3,0,83.0,31.0,4,0,0.0,1.0,0.0,0.0,0.0,124.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,28.0,730.0,0.598,True,False
NCT04702503,252.0,618.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,1,1,23.0,28.0,1,1,0.0,1.0,0.0,0.0,0.0,5.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,84.0,84.0,0.83,False,True
NCT02900716,1544.0,1544.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,2,3,1,6,0,15.0,27.0,3,1,1.0,1.0,0.0,0.0,0.0,48.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,30.0,1.0,0.83,False,True
NCT00001575,6058.0,6058.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,1,1,1,0,16.0,0.0,2,0,0.0,0.0,0.0,0.0,0.0,87.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,42.0,18.0,0.83,True,False
NCT00849654,1246.0,1246.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,9,0,13.0,30.0,1,1,0.0,1.0,0.0,0.0,0.0,66.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,35.0,,0.83,False,True
NCT02383368,1131.0,1131.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,3,2,1,5,0,14.0,24.0,1,1,1.0,1.0,0.0,0.0,0.0,39.0,False,1,0,0,0,0,0,0,0,0,0,0,1,1,1170.0,1170.0,0.83,False,True
NCT01345357,580.0,611.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,3,1,13.0,15.0,3,1,0.0,1.0,1.0,0.0,0.0,24.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,7.0,0.83,False,True
