protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT01335893,1310,1323.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,1,0,6.0,8.0,1,0,0.0,1.0,0.0,0.0,0.0,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.99,False,True
NCT02429466,1134,1388.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,1,1,2,0,30.0,9.0,1,0,0.0,2.0,1.0,0.0,0.0,14,False,1,0,0,0,0,0,0,0,0,0,0,0,0,7.0,42.0,0.68,False,True
NCT02405065,737,1220.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,4.0,3.0,1,1,0.0,1.0,0.0,0.0,0.0,72,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,84.0,0.68,False,True
NCT02231723,2131,2131.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,4,1,12,0,44.0,51.0,8,1,1.0,1.0,0.0,0.0,0.0,139,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,180.0,0.175,False,True
NCT05017623,553,553.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,10.0,27.0,1,1,0.0,1.0,0.0,0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,,0.68,False,True
NCT01677780,1671,1671.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,5,2,2.0,1.0,1,1,0.0,1.0,0.0,0.0,0.0,11,False,1,0,0,0,0,0,0,0,0,0,0,0,0,720.0,,0.65,False,True
NCT04204473,1030,1106.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,12.0,24.0,1,1,0.0,1.0,0.0,0.0,0.0,105,False,1,0,0,0,0,0,0,0,0,0,0,1,0,912.5,303.0,0.99,False,True
NCT02044796,1506,1544.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,6,1,1,1,0,25.0,7.0,5,0,0.0,1.0,0.0,0.0,0.0,199,False,1,0,0,0,0,0,0,0,0,0,1,0,1,45.0,1825.0,0.65,True,False
NCT01891747,700,3136.0,"(-0.001, 1035.0]","(1232.0, 4453.0]",1,0,1,1,1,1,0,19.0,14.0,3,0,0.0,0.0,1.0,0.0,0.0,14,False,1,0,0,0,0,0,0,0,0,0,1,0,1,360.0,360.0,0.68,False,True
NCT01353625,3609,3609.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,6,1,1,17,2,8.0,12.0,1,1,0.0,1.0,0.0,0.0,0.0,118,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,90.0,0.99,False,True
NCT03081819,748,848.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,9.0,18.0,1,0,2.0,0.0,0.0,0.0,0.0,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,,0.68,False,True
NCT05336279,16,40.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,1,1,5.0,22.0,2,1,2.0,1.0,0.0,1.0,0.0,28,True,0,0,0,0,0,0,0,0,0,0,0,0,1,9.0,9.0,0.68,False,True
NCT01766583,638,1795.0,"(-0.001, 1035.0]","(1232.0, 4453.0]",1,0,1,1,1,6,1,20.0,8.0,1,0,0.0,1.0,1.0,0.0,0.0,18,False,1,0,0,0,0,0,0,0,0,0,1,0,1,28.0,180.0,0.83,False,True
NCT02930902,2143,2143.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,7,2,1,1,0,21.0,25.0,6,0,1.0,1.0,0.0,0.0,0.0,9,False,1,0,0,0,0,0,0,0,0,0,0,0,1,77.0,49.0,0.99,False,True
NCT04444167,1231,1231.0,"(1035.0, 4453.0]","(-0.001, 1232.0]",0,1,1,1,1,1,1,9.0,16.0,2,1,0.0,1.0,0.0,0.0,0.0,59,False,1,0,0,0,0,0,0,0,0,0,0,1,1,730.0,730.0,0.175,True,False
NCT04671251,470,470.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,7,0,24.0,25.0,1,1,2.0,1.0,0.0,0.0,0.0,13,False,1,0,0,0,0,0,0,0,0,0,0,1,1,150.0,270.0,0.598,False,True
NCT02160951,608,608.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,4,1,1.0,1.0,1,1,0.0,1.0,0.0,0.0,0.0,13,False,1,0,0,0,0,0,0,0,0,0,0,1,1,28.0,84.0,0.598,False,True
NCT02636426,848,848.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,25.0,26.0,1,0,0.0,0.0,1.0,0.0,0.0,17,False,1,0,0,0,0,0,0,0,0,0,1,0,1,365.0,3000.0,0.68,False,True
NCT04228042,1359,1359.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,1,0,14.0,40.0,4,0,0.0,1.0,0.0,0.0,0.0,15,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,365.0,0.175,True,False
NCT04357587,1145,1145.0,"(1035.0, 4453.0]","(-0.001, 1232.0]",0,1,1,1,1,1,0,20.0,20.0,3,0,0.0,1.0,1.0,0.0,0.0,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,115.0,,0.68,False,True
NCT01489059,913,913.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,5,1,9,2,19.0,4.0,7,1,1.0,1.0,0.0,0.0,0.0,42,False,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,180.0,0.94,False,True
NCT04220775,929,929.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,1,1,1,0,18.0,14.0,4,0,0.0,1.0,0.0,0.0,0.0,3,False,1,0,0,0,0,0,0,0,0,0,1,0,1,365.0,1095.0,0.99,True,False
NCT02501902,1052,1130.0,"(1035.0, 4453.0]","(-0.001, 1232.0]",0,1,1,1,1,26,2,5.0,20.0,2,1,2.0,1.0,0.0,0.0,0.0,76,False,1,0,0,0,0,0,0,0,0,0,1,1,1,2.0,365.0,0.175,False,True
NCT02224053,122,122.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,2,0,6.0,25.0,4,1,0.0,1.0,0.0,0.0,0.0,136,True,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,21.0,0.68,False,True
