study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
1048.0,Low,0,10,2,6,1,False,False,33,False,False,False,False,1,0,False,True,False,True,False,True,False,True,True,True,True,True,True
1125.0,Low,0,3,1,4,1,missing,False,29,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,True,True,True,missing
744.0,Low,0,11,1,4,2,False,False,19,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,False,False,missing
2166.0,High,1,6,2,1,2,True,False,27,False,False,False,False,1,0,True,True,True,True,True,True,False,True,False,True,True,True,missing
1420.0,High,1,5,1,1,1,missing,False,20,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1320.0,Low,0,8,2,1,12,missing,False,11,False,False,False,False,1,0,True,True,False,True,False,False,False,False,True,True,False,False,True
1131.0,Low,0,17,1,5,3,False,False,39,False,False,False,False,1,0,True,True,False,True,True,False,False,False,True,True,False,False,True
877.0,Low,0,8,1,3,3,missing,False,62,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1779.0,High,1,7,3,12,5,missing,False,29,False,False,False,False,1,0,True,True,True,True,True,True,False,True,True,True,True,True,True
884.0,Low,0,5,1,5,1,missing,False,37,False,False,False,False,1,0,False,False,False,True,False,True,False,True,False,False,True,True,missing
1096.0,Low,0,7,1,4,4,False,False,37,False,False,False,False,1,0,False,True,False,False,True,False,False,False,True,False,False,False,True
1158.0,Low,0,1,1,1,2,missing,False,9,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,True,True,missing
1803.0,High,1,16,2,1,1,True,False,20,False,False,False,False,0,0,True,True,False,False,False,False,False,False,True,False,False,False,True
797.0,Low,0,11,2,8,1,False,False,53,False,False,False,False,0,0,False,True,False,True,True,True,False,True,True,True,False,False,True
814.0,Low,0,4,1,3,1,missing,False,22,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
